LSOA Code,Total
E01001202,42
E01001203,9
E01001205,1
E01001206,1
E01001207,1
E01001208,3
E01001209,1
E01001210,2
E01001211,2
E01001212,4
E01001213,4
E01001214,3
E01001215,20
E01001216,1
E01001219,4
E01001220,4
E01001224,2
E01001225,82
E01001226,3
E01001227,1
E01001228,3
E01001229,1
E01001230,6
E01001231,3
E01001233,10
E01001234,7
E01001235,6
E01001236,3
E01001237,5
E01001239,4
E01001240,5
E01001241,12
E01001242,3
E01001243,6
E01001244,13
E01001245,6
E01001246,12
E01001247,41
E01001248,6
E01001249,15
E01001250,5
E01001251,9
E01001252,12
E01001253,4
E01001254,2
E01001255,1
E01001257,3
E01001258,4
E01001259,6
E01001260,3
E01001261,46
E01001262,4
E01001263,4
E01001265,1
E01001266,18
E01001267,4
E01001268,2
E01001269,3
E01001270,1
E01001271,6
E01001272,11
E01001273,2
E01001274,4
E01001275,6
E01001276,6
E01001277,10
E01001278,14
E01001279,1
E01001280,5
E01001281,1
E01001282,2
E01001283,2
E01001284,3
E01001285,7
E01001286,1
E01001287,2
E01001288,3
E01001289,1
E01001290,5
E01001291,2
E01001293,3
E01001294,10
E01001296,2
E01001297,9
E01001298,2
E01001299,2
E01001301,3
E01001302,3
E01001303,10
E01001304,1
E01001307,1
E01001308,4
E01001309,2
E01001310,9
E01001311,3
E01001312,7
E01001314,1
E01001315,5
E01001316,5
E01001318,4
E01001320,1
E01001321,4
E01001322,29
E01001323,20
E01001324,1
E01001325,2
E01001326,5
E01001327,7
E01001328,14
E01001330,6
E01001331,1
E01001332,3
E01001333,30
E01001334,11
E01001335,4
E01001336,6
E01001337,11
E01001338,15
E01001340,5
E01001341,4
E01001342,5
E01001343,2
E01001344,6
E01001345,3
E01001346,2
E01001347,12
E01001348,20
E01001349,4
E01001351,17
E01001352,12
E01001353,6
E01001354,8
E01001355,10
E01001356,4
E01001357,1
E01001358,18
E01001359,46
E01001360,13
E01001361,410
E01001362,63
E01001363,8
E01001364,3
E01001365,5
E01001366,3
E01001367,42
E01001368,3
E01001369,23
E01001370,14
E01001371,9
E01001372,4
E01001373,8
E01001374,1
E01001375,1
E01001376,2
E01001377,1
E01001379,1
E01001380,1
E01001381,8
E01001382,1
E01001383,1
E01001384,8
E01001385,1
E01001386,6
E01001387,9
E01001388,13
E01001389,21
E01001390,4
E01001391,5
E01001393,3
E01001394,6
E01001395,2
E01001396,8
E01001397,3
E01001398,3
E01001399,3
E01001400,5
E01001401,1
E01001402,3
E01001403,3
E01001404,3
E01001405,8
E01001406,7
E01001407,3
E01001408,1
E01001409,3
E01001410,2
E01001411,4
E01001412,7
E01001413,1
E01001415,9
E01001417,2
E01001418,2
E01001419,10
E01001421,1
E01001422,3
E01001423,11
E01001424,5
E01001425,37
E01001426,5
E01001427,19
E01001428,3
E01001429,233
E01001430,8
E01001431,10
E01001432,26
E01001433,6
E01001434,3
E01001435,2
E01001436,9
E01001437,15
E01001438,5
E01001439,27
E01001440,25
E01001441,21
E01001442,16
E01001444,8
E01001445,5
E01001446,2
E01001447,6
E01001448,4
E01001449,4
E01001450,196
E01001451,25
E01001452,1
E01001453,2
E01001454,1
E01001455,3
E01001456,2
E01001457,14
E01001458,8
E01001459,3
E01001460,7
E01001461,10
E01001462,9
E01001463,1
E01001464,2
E01001465,10
E01001466,6
E01001467,7
E01001468,5
E01001470,3
E01001471,1
E01001472,2
E01001473,1
E01001474,4
E01001475,3
E01001476,8
E01001477,5
E01001478,3
E01001479,15
E01001480,5
E01001481,4
E01001482,7
E01001483,4
E01001484,4
E01001485,15
E01001486,9
E01001487,8
E01001488,5
E01001489,6
E01001491,12
E01001492,6
E01001493,5
E01001494,1
E01001495,6
E01001496,1
E01001498,33
E01001499,5
E01001500,10
E01001501,10
E01001502,20
E01001503,6
E01001504,1
E01001505,17
E01001507,69
E01001508,11
E01001509,1
E01001511,20
E01001512,17
E01001513,39
E01001514,3
E01001515,4
E01001516,17
E01001517,7
E01001518,20
E01001520,5
E01001521,3
E01001522,1
E01001523,2
E01001524,2
E01001526,2
E01001527,6
E01001528,6
E01001529,4
E01001530,1
E01001532,6
E01001533,2
E01001534,19
E01001535,6
E01001536,73
E01001537,1
E01001538,3
E01001539,2
E01001540,11
E01001541,6
E01001542,2
E01001543,3
E01001544,10
E01001545,3
E01001546,3
E01001547,17
E01001548,7
E01001549,8
E01001550,6
E01001551,9
E01001552,10
E01001553,3
E01001554,19
E01001555,23
E01001556,5
E01001557,2
E01001558,82
E01001559,165
E01001560,10
E01001562,4
E01001563,29
E01001564,9
E01001565,3
E01001566,4
E01001567,2
E01001568,1
E01001569,6
E01001570,10
E01001571,2
E01001572,5
E01001573,2
E01001574,2
E01001575,8
E01001576,7
E01001577,5
E01001578,22
E01001579,4
E01001580,12
E01001581,5
